Date,HSI,SI,PI,CI,DTI,HSI_target_7d,HSI_target_30d,HSI_target_60d,HSI_target_90d,SI_target_7d,SI_target_30d,SI_target_60d,SI_target_90d,PI_target_7d,PI_target_30d,PI_target_60d,PI_target_90d,CI_target_7d,CI_target_30d,CI_target_60d,CI_target_90d
2012-09-11,466,832,566,1187,637,480.0,444.0,405.0,447.0,834.0,789.0,644.0,765.0,474.0,843.0,720.0,928.0,1326.0,1833.0,2283.0,1762.0
2012-09-12,471,827,545,1186,635,480.0,444.0,405.0,447.0,839.0,787.0,644.0,760.0,468.0,871.0,720.0,914.0,1421.0,1914.0,2283.0,1652.0
2012-09-13,475,821,527,1198,634,482.0,444.0,405.0,444.0,843.0,783.0,644.0,751.0,468.0,885.0,720.0,894.0,1531.0,1960.0,2283.0,1446.0
2012-09-14,477,825,502,1204,633,484.0,444.0,405.0,443.0,845.0,783.0,649.0,751.0,467.0,885.0,732.0,871.0,1584.0,1960.0,2327.0,1407.0
2012-09-17,479,828,483,1219,634,486.0,443.0,405.0,444.0,850.0,768.0,655.0,746.0,461.0,904.0,886.0,815.0,1578.0,2162.0,2347.0,1403.0
2012-09-18,480,834,474,1326,635,483.0,444.0,407.0,444.0,847.0,754.0,664.0,746.0,441.0,895.0,902.0,815.0,1568.0,2135.0,2369.0,1403.0
2012-09-19,480,839,468,1421,637,479.0,445.0,407.0,444.0,847.0,746.0,664.0,745.0,426.0,879.0,902.0,793.0,1549.0,2217.0,2369.0,1315.0
2012-09-20,482,843,468,1531,642,476.0,445.0,407.0,444.0,847.0,740.0,664.0,742.0,418.0,861.0,902.0,765.0,1548.0,2332.0,2369.0,1233.0
2012-09-21,484,845,467,1584,643,472.0,445.0,409.0,445.0,844.0,740.0,674.0,738.0,425.0,861.0,933.0,734.0,1621.0,2332.0,2367.0,1226.0
2012-09-24,486,850,461,1578,642,467.0,440.0,431.0,447.0,836.0,721.0,706.0,735.0,439.0,825.0,1013.0,699.0,1660.0,2530.0,2288.0,1235.0
2012-09-25,483,847,441,1568,640,454.0,437.0,434.0,447.0,830.0,716.0,716.0,735.0,463.0,811.0,1021.0,699.0,1676.0,2432.0,2277.0,1235.0
2012-09-26,479,847,426,1549,638,448.0,434.0,434.0,446.0,825.0,712.0,716.0,732.0,496.0,804.0,1021.0,685.0,1738.0,2451.0,2277.0,1237.0
2012-09-27,476,847,418,1548,640,445.0,432.0,434.0,446.0,818.0,706.0,716.0,732.0,544.0,799.0,1021.0,685.0,1873.0,2460.0,2277.0,1237.0
2012-09-28,472,844,425,1621,646,444.0,432.0,438.0,446.0,810.0,706.0,724.0,732.0,598.0,799.0,1023.0,685.0,1932.0,2460.0,2275.0,1237.0
2012-10-01,467,836,439,1660,649,444.0,429.0,448.0,446.0,802.0,693.0,751.0,732.0,647.0,782.0,980.0,685.0,1921.0,2419.0,2199.0,1237.0
2012-10-02,454,830,463,1676,652,442.0,426.0,448.0,446.0,795.0,689.0,760.0,732.0,712.0,770.0,973.0,685.0,1829.0,2355.0,2166.0,1237.0
2012-10-03,448,825,496,1738,656,442.0,422.0,448.0,446.0,791.0,678.0,760.0,732.0,784.0,766.0,973.0,685.0,1775.0,2304.0,2166.0,1237.0
2012-10-04,445,818,544,1873,660,444.0,419.0,448.0,446.0,789.0,671.0,760.0,732.0,843.0,757.0,973.0,685.0,1833.0,2261.0,2166.0,1237.0
2012-10-05,444,810,598,1932,664,444.0,419.0,447.0,447.0,787.0,671.0,766.0,737.0,871.0,757.0,962.0,675.0,1914.0,2261.0,2095.0,1254.0
2012-10-08,444,802,647,1921,664,444.0,412.0,447.0,443.0,783.0,662.0,768.0,739.0,885.0,737.0,936.0,670.0,1960.0,2098.0,1832.0,1319.0
2012-10-09,442,795,712,1829,662,443.0,409.0,447.0,443.0,776.0,654.0,765.0,739.0,904.0,726.0,928.0,670.0,2103.0,2119.0,1762.0,1319.0
2012-10-10,442,791,784,1775,662,443.0,407.0,447.0,442.0,768.0,647.0,765.0,739.0,904.0,722.0,928.0,682.0,2162.0,2203.0,1762.0,1386.0
2012-10-11,444,789,843,1833,663,444.0,405.0,447.0,443.0,754.0,644.0,765.0,740.0,895.0,720.0,928.0,717.0,2135.0,2283.0,1762.0,1384.0
2012-10-12,444,787,871,1914,665,445.0,405.0,447.0,443.0,746.0,644.0,760.0,741.0,879.0,720.0,914.0,754.0,2217.0,2283.0,1652.0,1367.0
2012-10-15,444,783,885,1960,667,445.0,402.0,443.0,451.0,740.0,652.0,748.0,745.0,861.0,774.0,839.0,774.0,2332.0,2375.0,1440.0,1370.0
2012-10-16,443,776,904,2103,668,442.0,403.0,444.0,451.0,732.0,653.0,746.0,745.0,843.0,846.0,815.0,774.0,2587.0,2350.0,1403.0,1370.0
2012-10-17,443,768,904,2162,668,440.0,405.0,444.0,454.0,721.0,655.0,746.0,743.0,825.0,886.0,815.0,768.0,2530.0,2347.0,1403.0,1365.0
2012-10-18,444,754,895,2135,670,437.0,407.0,444.0,457.0,716.0,664.0,746.0,740.0,811.0,902.0,815.0,754.0,2432.0,2369.0,1403.0,1431.0
2012-10-19,445,746,879,2217,672,434.0,407.0,444.0,464.0,712.0,664.0,745.0,738.0,804.0,902.0,793.0,743.0,2451.0,2369.0,1315.0,1573.0
2012-10-22,445,740,861,2332,676,432.0,416.0,446.0,474.0,706.0,687.0,738.0,730.0,799.0,963.0,710.0,736.0,2460.0,2335.0,1228.0,1604.0
2012-10-23,442,732,843,2587,680,430.0,424.0,447.0,474.0,699.0,695.0,735.0,730.0,792.0,991.0,699.0,736.0,2458.0,2318.0,1235.0,1604.0
2012-10-24,440,721,825,2530,681,429.0,431.0,447.0,477.0,693.0,706.0,735.0,728.0,782.0,1013.0,699.0,729.0,2419.0,2288.0,1235.0,1577.0
2012-10-25,437,716,811,2432,683,426.0,434.0,447.0,478.0,689.0,716.0,735.0,721.0,770.0,1021.0,699.0,727.0,2355.0,2277.0,1235.0,1564.0
2012-10-26,434,712,804,2451,681,422.0,434.0,446.0,478.0,678.0,716.0,732.0,713.0,766.0,1021.0,685.0,723.0,2304.0,2277.0,1237.0,1541.0
2012-10-29,432,706,799,2460,678,419.0,442.0,446.0,472.0,671.0,732.0,732.0,711.0,757.0,1009.0,685.0,713.0,2261.0,2275.0,1237.0,1507.0
2012-10-30,430,699,792,2458,675,416.0,446.0,446.0,472.0,669.0,742.0,732.0,711.0,747.0,994.0,685.0,713.0,2186.0,2241.0,1237.0,1507.0
2012-10-31,429,693,782,2419,672,412.0,448.0,446.0,467.0,662.0,751.0,732.0,710.0,737.0,980.0,685.0,703.0,2098.0,2199.0,1237.0,1491.0
2012-11-01,426,689,770,2355,674,409.0,448.0,446.0,461.0,654.0,760.0,732.0,695.0,726.0,973.0,685.0,690.0,2119.0,2166.0,1237.0,1477.0
2012-11-02,422,678,766,2304,672,407.0,448.0,446.0,455.0,647.0,760.0,732.0,688.0,722.0,973.0,685.0,677.0,2203.0,2166.0,1237.0,1468.0
2012-11-05,419,671,757,2261,667,405.0,446.0,446.0,444.0,644.0,772.0,739.0,682.0,720.0,949.0,670.0,653.0,2283.0,2000.0,1285.0,1461.0
2012-11-06,416,669,747,2186,659,405.0,446.0,443.0,444.0,649.0,771.0,739.0,682.0,732.0,940.0,670.0,653.0,2327.0,1897.0,1319.0,1461.0
2012-11-07,412,662,737,2098,655,402.0,447.0,443.0,438.0,652.0,768.0,739.0,681.0,774.0,936.0,670.0,651.0,2375.0,1832.0,1319.0,1466.0
2012-11-08,409,654,726,2119,662,403.0,447.0,443.0,431.0,653.0,765.0,739.0,677.0,846.0,928.0,670.0,657.0,2350.0,1762.0,1319.0,1484.0
2012-11-09,407,647,722,2203,667,405.0,447.0,442.0,425.0,655.0,765.0,739.0,674.0,886.0,928.0,682.0,695.0,2347.0,1762.0,1386.0,1481.0
2012-11-12,405,644,720,2283,680,407.0,444.0,448.0,418.0,664.0,751.0,743.0,669.0,902.0,894.0,772.0,737.0,2369.0,1446.0,1367.0,1453.0
2012-11-13,405,649,732,2327,687,409.0,443.0,451.0,418.0,674.0,751.0,745.0,669.0,933.0,871.0,774.0,737.0,2367.0,1407.0,1370.0,1453.0
2012-11-14,402,652,774,2375,700,416.0,443.0,451.0,417.0,687.0,748.0,745.0,666.0,963.0,839.0,774.0,749.0,2335.0,1440.0,1370.0,1448.0
2012-11-15,403,653,846,2350,713,424.0,444.0,451.0,414.0,695.0,746.0,745.0,668.0,991.0,815.0,774.0,782.0,2318.0,1403.0,1370.0,1448.0
2012-11-16,405,655,886,2347,715,431.0,444.0,454.0,412.0,706.0,746.0,743.0,664.0,1013.0,815.0,768.0,808.0,2288.0,1403.0,1365.0,1429.0
2012-11-19,407,664,902,2369,715,434.0,444.0,470.0,411.0,716.0,742.0,735.0,672.0,1021.0,765.0,740.0,845.0,2277.0,1233.0,1605.0,1408.0
2012-11-20,409,674,933,2367,723,438.0,445.0,474.0,411.0,724.0,738.0,730.0,672.0,1023.0,734.0,736.0,845.0,2275.0,1226.0,1604.0,1408.0
2012-11-21,416,687,963,2335,723,442.0,446.0,474.0,411.0,732.0,738.0,730.0,679.0,1009.0,710.0,736.0,859.0,2275.0,1228.0,1604.0,1377.0
2012-11-22,424,695,991,2318,725,446.0,447.0,474.0,410.0,742.0,735.0,730.0,687.0,994.0,699.0,736.0,875.0,2241.0,1235.0,1604.0,1355.0
2012-11-23,431,706,1013,2288,723,448.0,447.0,477.0,411.0,751.0,735.0,728.0,695.0,980.0,699.0,729.0,892.0,2199.0,1235.0,1577.0,1344.0
2012-11-26,434,716,1021,2277,723,448.0,446.0,475.0,414.0,760.0,732.0,712.0,717.0,973.0,685.0,718.0,922.0,2166.0,1237.0,1520.0,1323.0
2012-11-27,438,724,1023,2275,721,447.0,446.0,472.0,414.0,766.0,732.0,711.0,717.0,962.0,685.0,713.0,922.0,2095.0,1237.0,1507.0,1323.0
2012-11-28,442,732,1009,2275,719,446.0,446.0,472.0,419.0,772.0,732.0,711.0,724.0,949.0,685.0,713.0,939.0,2000.0,1237.0,1507.0,1291.0
2012-11-29,446,742,994,2241,708,446.0,446.0,472.0,426.0,771.0,732.0,711.0,734.0,940.0,685.0,713.0,961.0,1897.0,1237.0,1507.0,1264.0
2012-11-30,448,751,980,2199,705,447.0,446.0,467.0,436.0,768.0,732.0,710.0,745.0,936.0,685.0,703.0,990.0,1832.0,1237.0,1491.0,1249.0
2012-12-03,448,760,973,2166,705,447.0,446.0,449.0,454.0,765.0,732.0,684.0,781.0,928.0,685.0,664.0,1058.0,1762.0,1237.0,1454.0,1239.0
2012-12-04,447,766,962,2095,703,447.0,447.0,444.0,454.0,760.0,737.0,682.0,781.0,914.0,675.0,653.0,1058.0,1652.0,1254.0,1461.0,1239.0
2012-12-05,446,772,949,2000,701,444.0,446.0,444.0,466.0,751.0,739.0,682.0,801.0,894.0,670.0,653.0,1080.0,1446.0,1285.0,1461.0,1246.0
2012-12-06,446,771,940,1897,702,443.0,443.0,444.0,472.0,751.0,739.0,682.0,818.0,871.0,670.0,653.0,1090.0,1407.0,1319.0,1461.0,1251.0
2012-12-07,447,768,936,1832,706,443.0,443.0,438.0,478.0,748.0,739.0,681.0,837.0,839.0,670.0,651.0,1112.0,1440.0,1319.0,1466.0,1260.0
2012-12-10,447,765,928,1762,707,444.0,443.0,421.0,485.0,746.0,740.0,671.0,864.0,815.0,717.0,723.0,1128.0,1403.0,1384.0,1461.0,1260.0
2012-12-11,447,760,914,1652,711,444.0,443.0,418.0,485.0,745.0,741.0,669.0,864.0,793.0,754.0,737.0,1128.0,1315.0,1367.0,1453.0,1260.0
2012-12-12,444,751,894,1446,724,444.0,448.0,418.0,486.0,742.0,743.0,669.0,876.0,765.0,772.0,737.0,1131.0,1233.0,1367.0,1453.0,1314.0
2012-12-13,443,751,871,1407,730,445.0,451.0,418.0,490.0,738.0,745.0,669.0,889.0,734.0,774.0,737.0,1138.0,1226.0,1370.0,1453.0,1314.0
2012-12-14,443,748,839,1440,741,446.0,451.0,417.0,494.0,738.0,745.0,666.0,903.0,710.0,774.0,749.0,1147.0,1228.0,1370.0,1448.0,1302.0
2012-12-17,444,746,815,1403,746,447.0,457.0,412.0,513.0,735.0,740.0,667.0,925.0,699.0,754.0,832.0,1172.0,1235.0,1431.0,1434.0,1295.0
2012-12-18,444,745,793,1315,754,446.0,464.0,411.0,513.0,732.0,738.0,672.0,925.0,685.0,743.0,845.0,1172.0,1237.0,1573.0,1408.0,1295.0
2012-12-19,444,742,765,1233,774,446.0,470.0,411.0,522.0,732.0,735.0,672.0,937.0,685.0,740.0,845.0,1184.0,1237.0,1605.0,1408.0,1290.0
2012-12-20,445,738,734,1226,779,446.0,474.0,411.0,532.0,732.0,730.0,672.0,950.0,685.0,736.0,845.0,1190.0,1237.0,1604.0,1408.0,1294.0
2012-12-21,446,738,710,1228,778,446.0,474.0,411.0,539.0,732.0,730.0,679.0,959.0,685.0,736.0,859.0,1202.0,1237.0,1604.0,1377.0,1290.0
2012-12-24,447,735,699,1235,774,446.0,478.0,412.0,543.0,732.0,721.0,705.0,978.0,685.0,727.0,909.0,1210.0,1237.0,1564.0,1335.0,1284.0
2013-01-02,446,732,685,1237,764,443.0,449.0,454.0,543.0,740.0,684.0,781.0,944.0,717.0,664.0,1058.0,1155.0,1384.0,1454.0,1239.0,1229.0
2013-01-03,447,737,675,1254,696,443.0,444.0,454.0,537.0,741.0,682.0,781.0,933.0,754.0,653.0,1058.0,1129.0,1367.0,1461.0,1239.0,1209.0
2013-01-04,446,739,670,1285,689,448.0,444.0,466.0,529.0,743.0,682.0,801.0,924.0,772.0,653.0,1080.0,1106.0,1367.0,1461.0,1246.0,1209.0
2013-01-07,443,739,670,1319,679,451.0,431.0,483.0,523.0,745.0,677.0,852.0,912.0,774.0,657.0,1124.0,1084.0,1370.0,1484.0,1262.0,1223.0
2013-01-08,442,739,682,1386,671,454.0,425.0,485.0,523.0,743.0,674.0,864.0,912.0,768.0,695.0,1128.0,1084.0,1365.0,1481.0,1260.0,1223.0
2013-01-09,443,740,717,1384,663,457.0,421.0,485.0,518.0,740.0,671.0,864.0,907.0,754.0,723.0,1128.0,1077.0,1431.0,1461.0,1260.0,1236.0
2013-01-10,443,741,754,1367,654,464.0,418.0,485.0,518.0,738.0,669.0,864.0,902.0,743.0,737.0,1128.0,1080.0,1573.0,1453.0,1260.0,1250.0
2013-01-11,448,743,772,1367,646,470.0,418.0,486.0,521.0,735.0,669.0,876.0,900.0,740.0,737.0,1131.0,1095.0,1605.0,1453.0,1314.0,1257.0
2013-01-14,451,745,774,1370,641,474.0,414.0,506.0,528.0,730.0,668.0,913.0,902.0,736.0,782.0,1162.0,1125.0,1604.0,1448.0,1299.0,1257.0
2013-01-15,454,743,768,1365,637,477.0,412.0,513.0,528.0,728.0,664.0,925.0,902.0,729.0,808.0,1172.0,1125.0,1577.0,1429.0,1295.0,1257.0
2013-01-16,457,740,754,1431,633,478.0,412.0,513.0,531.0,721.0,667.0,925.0,902.0,727.0,832.0,1172.0,1143.0,1564.0,1434.0,1295.0,1251.0
2013-01-17,464,738,743,1573,631,478.0,411.0,513.0,537.0,713.0,672.0,925.0,900.0,723.0,845.0,1172.0,1167.0,1541.0,1408.0,1295.0,1245.0
2013-01-18,470,735,740,1605,630,475.0,411.0,522.0,538.0,712.0,672.0,937.0,899.0,718.0,845.0,1184.0,1180.0,1520.0,1408.0,1290.0,1238.0
2013-01-21,474,730,736,1604,630,472.0,410.0,542.0,540.0,711.0,687.0,968.0,902.0,713.0,875.0,1208.0,1202.0,1507.0,1355.0,1284.0,1230.0
2013-01-22,477,728,729,1577,633,467.0,411.0,543.0,540.0,710.0,695.0,978.0,902.0,703.0,892.0,1210.0,1202.0,1491.0,1344.0,1284.0,1230.0
2013-01-23,478,721,727,1564,632,461.0,412.0,543.0,540.0,695.0,705.0,978.0,902.0,690.0,909.0,1210.0,1193.0,1477.0,1335.0,1284.0,1220.0
2013-01-24,478,713,723,1541,636,455.0,414.0,543.0,543.0,688.0,717.0,978.0,903.0,677.0,922.0,1210.0,1165.0,1468.0,1323.0,1284.0,1214.0
2013-01-25,475,712,718,1520,647,449.0,414.0,545.0,544.0,684.0,717.0,981.0,905.0,664.0,922.0,1204.0,1121.0,1454.0,1323.0,1275.0,1220.0
2013-01-28,472,711,713,1507,646,444.0,426.0,543.0,545.0,682.0,734.0,944.0,900.0,653.0,961.0,1155.0,1058.0,1461.0,1264.0,1229.0,1260.0
2013-01-29,467,710,703,1491,637,438.0,436.0,543.0,545.0,681.0,745.0,944.0,900.0,651.0,990.0,1155.0,1058.0,1466.0,1249.0,1229.0,1260.0
2013-01-30,461,695,690,1477,632,431.0,447.0,543.0,544.0,677.0,764.0,944.0,895.0,657.0,1036.0,1155.0,1028.0,1484.0,1243.0,1229.0,1273.0
2013-01-31,455,688,677,1468,636,425.0,454.0,543.0,545.0,674.0,781.0,944.0,888.0,695.0,1058.0,1155.0,1018.0,1481.0,1239.0,1229.0,1279.0
2013-02-01,449,684,664,1454,636,421.0,454.0,543.0,546.0,671.0,781.0,944.0,884.0,723.0,1058.0,1155.0,1010.0,1461.0,1239.0,1229.0,1322.0
2013-02-04,444,682,653,1461,635,418.0,472.0,525.0,546.0,669.0,818.0,915.0,876.0,737.0,1090.0,1094.0,999.0,1453.0,1251.0,1215.0,1393.0
2013-02-05,438,681,651,1466,634,417.0,478.0,523.0,546.0,666.0,837.0,912.0,876.0,749.0,1112.0,1084.0,999.0,1448.0,1260.0,1223.0,1393.0
2013-02-06,431,677,657,1484,632,414.0,483.0,523.0,546.0,668.0,852.0,912.0,876.0,782.0,1124.0,1084.0,999.0,1448.0,1262.0,1223.0,1393.0
2013-02-07,425,674,695,1481,636,412.0,485.0,523.0,548.0,664.0,864.0,912.0,874.0,808.0,1128.0,1084.0,995.0,1429.0,1260.0,1223.0,1408.0
2013-02-08,421,671,723,1461,638,412.0,485.0,518.0,551.0,667.0,864.0,907.0,872.0,832.0,1128.0,1077.0,995.0,1434.0,1260.0,1236.0,1398.0
2013-02-11,418,669,737,1453,640,411.0,490.0,526.0,553.0,672.0,889.0,901.0,866.0,845.0,1138.0,1112.0,993.0,1408.0,1314.0,1265.0,1370.0
2013-02-12,417,666,749,1448,643,411.0,494.0,528.0,553.0,679.0,903.0,902.0,866.0,859.0,1147.0,1125.0,993.0,1377.0,1302.0,1257.0,1370.0
2013-02-13,414,668,782,1448,647,410.0,506.0,528.0,555.0,687.0,913.0,902.0,861.0,875.0,1162.0,1125.0,988.0,1355.0,1299.0,1257.0,1360.0
2013-02-14,412,664,808,1429,655,411.0,513.0,528.0,555.0,695.0,925.0,902.0,857.0,892.0,1172.0,1125.0,974.0,1344.0,1295.0,1257.0,1338.0
2013-02-15,412,667,832,1434,657,412.0,513.0,531.0,554.0,705.0,925.0,902.0,854.0,909.0,1172.0,1143.0,951.0,1335.0,1295.0,1251.0,1334.0
2013-02-18,411,672,845,1408,661,414.0,532.0,539.0,555.0,717.0,950.0,898.0,851.0,922.0,1190.0,1196.0,917.0,1323.0,1294.0,1234.0,1317.0
2013-02-19,411,679,859,1377,659,419.0,539.0,540.0,555.0,724.0,959.0,902.0,851.0,939.0,1202.0,1202.0,917.0,1291.0,1290.0,1230.0,1317.0
2013-02-20,410,687,875,1355,658,426.0,542.0,540.0,554.0,734.0,968.0,902.0,852.0,961.0,1208.0,1202.0,899.0,1264.0,1284.0,1230.0,1321.0
2013-02-21,411,695,892,1344,669,436.0,543.0,540.0,552.0,745.0,978.0,902.0,851.0,990.0,1210.0,1202.0,880.0,1249.0,1284.0,1230.0,1333.0
2013-02-22,412,705,909,1335,673,447.0,543.0,540.0,551.0,764.0,978.0,902.0,853.0,1036.0,1210.0,1193.0,863.0,1243.0,1284.0,1220.0,1339.0
2013-02-25,414,717,922,1323,677,454.0,547.0,545.0,545.0,781.0,977.0,904.0,857.0,1058.0,1191.0,1082.0,838.0,1239.0,1258.0,1246.0,1346.0
2013-02-26,419,724,939,1291,683,466.0,547.0,545.0,545.0,801.0,965.0,900.0,857.0,1080.0,1176.0,1058.0,838.0,1246.0,1249.0,1260.0,1346.0
2013-02-27,426,734,961,1264,686,472.0,543.0,545.0,545.0,818.0,944.0,900.0,857.0,1090.0,1155.0,1058.0,838.0,1251.0,1229.0,1260.0,1346.0
2013-02-28,436,745,990,1249,692,478.0,543.0,545.0,543.0,837.0,944.0,900.0,858.0,1112.0,1155.0,1058.0,821.0,1260.0,1229.0,1260.0,1348.0
2013-03-01,447,764,1036,1243,697,483.0,543.0,544.0,537.0,852.0,944.0,895.0,859.0,1124.0,1155.0,1028.0,806.0,1262.0,1229.0,1273.0,1339.0
2013-03-04,454,781,1058,1239,700,485.0,537.0,546.0,529.0,864.0,933.0,880.0,871.0,1128.0,1129.0,1006.0,786.0,1260.0,1209.0,1344.0,1333.0
2013-03-05,466,801,1080,1246,696,486.0,529.0,546.0,529.0,876.0,924.0,876.0,871.0,1131.0,1106.0,999.0,786.0,1314.0,1209.0,1393.0,1333.0
2013-03-06,472,818,1090,1251,690,490.0,525.0,546.0,526.0,889.0,915.0,876.0,873.0,1138.0,1094.0,999.0,776.0,1314.0,1215.0,1393.0,1338.0
2013-03-07,478,837,1112,1260,686,494.0,523.0,546.0,521.0,903.0,912.0,876.0,877.0,1147.0,1084.0,999.0,768.0,1302.0,1223.0,1393.0,1335.0
2013-03-08,483,852,1124,1262,681,506.0,523.0,546.0,521.0,913.0,912.0,876.0,880.0,1162.0,1084.0,999.0,764.0,1299.0,1223.0,1393.0,1344.0
2013-03-11,485,864,1128,1260,674,513.0,518.0,551.0,525.0,925.0,902.0,869.0,889.0,1172.0,1080.0,994.0,766.0,1295.0,1250.0,1382.0,1359.0
2013-03-12,486,876,1131,1314,666,522.0,521.0,553.0,525.0,937.0,900.0,866.0,889.0,1184.0,1095.0,993.0,766.0,1290.0,1257.0,1370.0,1359.0
2013-03-13,490,889,1138,1314,661,532.0,526.0,553.0,525.0,950.0,901.0,866.0,890.0,1190.0,1112.0,993.0,777.0,1294.0,1265.0,1370.0,1379.0
2013-03-14,494,903,1147,1302,661,539.0,528.0,553.0,525.0,959.0,902.0,866.0,892.0,1202.0,1125.0,993.0,808.0,1290.0,1257.0,1370.0,1427.0
2013-03-15,506,913,1162,1299,669,542.0,528.0,555.0,528.0,968.0,902.0,861.0,895.0,1208.0,1125.0,988.0,833.0,1284.0,1257.0,1360.0,1484.0
2013-03-18,513,925,1172,1295,663,543.0,537.0,553.0,539.0,978.0,900.0,853.0,900.0,1210.0,1167.0,930.0,878.0,1284.0,1245.0,1326.0,1588.0
