date,vessel_type,freight_index
2012-10-31,Capesize,2419
2012-10-31,Handysize,429
2012-10-31,Panamax,782
2012-10-31,Supramax,693
2012-11-01,Capesize,2355
2012-11-01,Handysize,426
2012-11-01,Panamax,770
2012-11-01,Supramax,689
2012-11-02,Capesize,2304
2012-11-02,Handysize,422
2012-11-02,Panamax,766
2012-11-02,Supramax,678
2012-11-05,Capesize,2261
2012-11-05,Handysize,419
2012-11-05,Panamax,757
2012-11-05,Supramax,671
2012-11-06,Capesize,2186
2012-11-06,Handysize,416
2012-11-06,Panamax,747
2012-11-06,Supramax,669
2012-11-07,Capesize,2098
2012-11-07,Handysize,412
2012-11-07,Panamax,737
2012-11-07,Supramax,662
2012-11-08,Capesize,2119
2012-11-08,Handysize,409
2012-11-08,Panamax,726
2012-11-08,Supramax,654
2012-11-09,Capesize,2203
2012-11-09,Handysize,407
2012-11-09,Panamax,722
2012-11-09,Supramax,647
2012-11-12,Capesize,2283
2012-11-12,Handysize,405
2012-11-12,Panamax,720
2012-11-12,Supramax,644
2012-11-13,Capesize,2327
2012-11-13,Handysize,405
2012-11-13,Panamax,732
2012-11-13,Supramax,649
2012-11-14,Capesize,2375
2012-11-14,Handysize,402
2012-11-14,Panamax,774
2012-11-14,Supramax,652
2012-11-15,Capesize,2350
2012-11-15,Handysize,403
2012-11-15,Panamax,846
2012-11-15,Supramax,653
2012-11-16,Capesize,2347
2012-11-16,Handysize,405
2012-11-16,Panamax,886
2012-11-16,Supramax,655
2012-11-19,Capesize,2369
2012-11-19,Handysize,407
2012-11-19,Panamax,902
2012-11-19,Supramax,664
2012-11-20,Capesize,2367
2012-11-20,Handysize,409
2012-11-20,Panamax,933
2012-11-20,Supramax,674
2012-11-21,Capesize,2335
2012-11-21,Handysize,416
2012-11-21,Panamax,963
2012-11-21,Supramax,687
2012-11-22,Capesize,2318
2012-11-22,Handysize,424
2012-11-22,Panamax,991
2012-11-22,Supramax,695
2012-11-23,Capesize,2288
2012-11-23,Handysize,431
2012-11-23,Panamax,1013
2012-11-23,Supramax,706
2012-11-26,Capesize,2277
2012-11-26,Handysize,434
2012-11-26,Panamax,1021
2012-11-26,Supramax,716
2012-11-27,Capesize,2275
2012-11-27,Handysize,438
2012-11-27,Panamax,1023
2012-11-27,Supramax,724
2012-11-28,Capesize,2275
2012-11-28,Handysize,442
2012-11-28,Panamax,1009
2012-11-28,Supramax,732
2012-11-29,Capesize,2241
2012-11-29,Handysize,446
2012-11-29,Panamax,994
2012-11-29,Supramax,742
2012-11-30,Capesize,2199
2012-11-30,Handysize,448
2012-11-30,Panamax,980
2012-11-30,Supramax,751
2012-12-03,Capesize,2166
2012-12-03,Handysize,448
2012-12-03,Panamax,973
2012-12-03,Supramax,760
2012-12-04,Capesize,2095
2012-12-04,Handysize,447
2012-12-04,Panamax,962
2012-12-04,Supramax,766
2012-12-05,Capesize,2000
2012-12-05,Handysize,446
2012-12-05,Panamax,949
2012-12-05,Supramax,772
2012-12-06,Capesize,1897
2012-12-06,Handysize,446
2012-12-06,Panamax,940
2012-12-06,Supramax,771
2012-12-07,Capesize,1832
2012-12-07,Handysize,447
2012-12-07,Panamax,936
2012-12-07,Supramax,768
2012-12-10,Capesize,1762
2012-12-10,Handysize,447
2012-12-10,Panamax,928
2012-12-10,Supramax,765
2012-12-11,Capesize,1652
2012-12-11,Handysize,447
2012-12-11,Panamax,914
2012-12-11,Supramax,760
2012-12-12,Capesize,1446
2012-12-12,Handysize,444
2012-12-12,Panamax,894
2012-12-12,Supramax,751
2012-12-13,Capesize,1407
2012-12-13,Handysize,443
2012-12-13,Panamax,871
2012-12-13,Supramax,751
2012-12-14,Capesize,1440
2012-12-14,Handysize,443
2012-12-14,Panamax,839
2012-12-14,Supramax,748
2012-12-17,Capesize,1403
2012-12-17,Handysize,444
2012-12-17,Panamax,815
2012-12-17,Supramax,746
2012-12-18,Capesize,1315
2012-12-18,Handysize,444
2012-12-18,Panamax,793
2012-12-18,Supramax,745
2012-12-19,Capesize,1233
2012-12-19,Handysize,444
2012-12-19,Panamax,765
2012-12-19,Supramax,742
2012-12-20,Capesize,1226
2012-12-20,Handysize,445
2012-12-20,Panamax,734
2012-12-20,Supramax,738
2012-12-21,Capesize,1228
2012-12-21,Handysize,446
2012-12-21,Panamax,710
2012-12-21,Supramax,738
2012-12-24,Capesize,1235
2012-12-24,Handysize,447
2012-12-24,Panamax,699
2012-12-24,Supramax,735
2013-01-02,Capesize,1237
2013-01-02,Handysize,446
2013-01-02,Panamax,685
2013-01-02,Supramax,732
2013-01-03,Capesize,1254
2013-01-03,Handysize,447
2013-01-03,Panamax,675
2013-01-03,Supramax,737
2013-01-04,Capesize,1285
2013-01-04,Handysize,446
2013-01-04,Panamax,670
2013-01-04,Supramax,739
2013-01-07,Capesize,1319
2013-01-07,Handysize,443
2013-01-07,Panamax,670
2013-01-07,Supramax,739
2013-01-08,Capesize,1386
2013-01-08,Handysize,442
2013-01-08,Panamax,682
2013-01-08,Supramax,739
2013-01-09,Capesize,1384
2013-01-09,Handysize,443
2013-01-09,Panamax,717
2013-01-09,Supramax,740
2013-01-10,Capesize,1367
2013-01-10,Handysize,443
2013-01-10,Panamax,754
2013-01-10,Supramax,741
2013-01-11,Capesize,1367
2013-01-11,Handysize,448
2013-01-11,Panamax,772
2013-01-11,Supramax,743
2013-01-14,Capesize,1370
2013-01-14,Handysize,451
2013-01-14,Panamax,774
2013-01-14,Supramax,745
2013-01-15,Capesize,1365
2013-01-15,Handysize,454
2013-01-15,Panamax,768
2013-01-15,Supramax,743
2013-01-16,Capesize,1431
2013-01-16,Handysize,457
2013-01-16,Panamax,754
2013-01-16,Supramax,740
2013-01-17,Capesize,1573
2013-01-17,Handysize,464
2013-01-17,Panamax,743
2013-01-17,Supramax,738
2013-01-18,Capesize,1605
2013-01-18,Handysize,470
2013-01-18,Panamax,740
2013-01-18,Supramax,735
2013-01-21,Capesize,1604
2013-01-21,Handysize,474
2013-01-21,Panamax,736
2013-01-21,Supramax,730
2013-01-22,Capesize,1577
2013-01-22,Handysize,477
2013-01-22,Panamax,729
2013-01-22,Supramax,728
2013-01-23,Capesize,1564
2013-01-23,Handysize,478
2013-01-23,Panamax,727
2013-01-23,Supramax,721
2013-01-24,Capesize,1541
2013-01-24,Handysize,478
2013-01-24,Panamax,723
2013-01-24,Supramax,713
2013-01-25,Capesize,1520
2013-01-25,Handysize,475
2013-01-25,Panamax,718
2013-01-25,Supramax,712
2013-01-28,Capesize,1507
2013-01-28,Handysize,472
2013-01-28,Panamax,713
2013-01-28,Supramax,711
2013-01-29,Capesize,1491
2013-01-29,Handysize,467
2013-01-29,Panamax,703
2013-01-29,Supramax,710
2013-01-30,Capesize,1477
2013-01-30,Handysize,461
2013-01-30,Panamax,690
2013-01-30,Supramax,695
2013-01-31,Capesize,1468
2013-01-31,Handysize,455
2013-01-31,Panamax,677
2013-01-31,Supramax,688
2013-02-01,Capesize,1454
2013-02-01,Handysize,449
2013-02-01,Panamax,664
2013-02-01,Supramax,684
2013-02-04,Capesize,1461
2013-02-04,Handysize,444
2013-02-04,Panamax,653
2013-02-04,Supramax,682
2013-02-05,Capesize,1466
2013-02-05,Handysize,438
2013-02-05,Panamax,651
2013-02-05,Supramax,681
2013-02-06,Capesize,1484
2013-02-06,Handysize,431
2013-02-06,Panamax,657
2013-02-06,Supramax,677
2013-02-07,Capesize,1481
2013-02-07,Handysize,425
2013-02-07,Panamax,695
2013-02-07,Supramax,674
2013-02-08,Capesize,1461
2013-02-08,Handysize,421
2013-02-08,Panamax,723
2013-02-08,Supramax,671
2013-02-11,Capesize,1453
2013-02-11,Handysize,418
2013-02-11,Panamax,737
2013-02-11,Supramax,669
2013-02-12,Capesize,1448
2013-02-12,Handysize,417
2013-02-12,Panamax,749
2013-02-12,Supramax,666
2013-02-13,Capesize,1448
2013-02-13,Handysize,414
2013-02-13,Panamax,782
2013-02-13,Supramax,668
2013-02-14,Capesize,1429
2013-02-14,Handysize,412
2013-02-14,Panamax,808
2013-02-14,Supramax,664
2013-02-15,Capesize,1434
2013-02-15,Handysize,412
2013-02-15,Panamax,832
2013-02-15,Supramax,667
2013-02-18,Capesize,1408
2013-02-18,Handysize,411
2013-02-18,Panamax,845
2013-02-18,Supramax,672
2013-02-19,Capesize,1377
2013-02-19,Handysize,411
2013-02-19,Panamax,859
2013-02-19,Supramax,679
2013-02-20,Capesize,1355
2013-02-20,Handysize,410
2013-02-20,Panamax,875
2013-02-20,Supramax,687
2013-02-21,Capesize,1344
2013-02-21,Handysize,411
2013-02-21,Panamax,892
2013-02-21,Supramax,695
2013-02-22,Capesize,1335
2013-02-22,Handysize,412
2013-02-22,Panamax,909
2013-02-22,Supramax,705
2013-02-25,Capesize,1323
2013-02-25,Handysize,414
2013-02-25,Panamax,922
2013-02-25,Supramax,717
2013-02-26,Capesize,1291
2013-02-26,Handysize,419
2013-02-26,Panamax,939
2013-02-26,Supramax,724
2013-02-27,Capesize,1264
2013-02-27,Handysize,426
2013-02-27,Panamax,961
2013-02-27,Supramax,734
2013-02-28,Capesize,1249
2013-02-28,Handysize,436
2013-02-28,Panamax,990
2013-02-28,Supramax,745
2013-03-01,Capesize,1243
2013-03-01,Handysize,447
2013-03-01,Panamax,1036
2013-03-01,Supramax,764
2013-03-04,Capesize,1239
2013-03-04,Handysize,454
2013-03-04,Panamax,1058
2013-03-04,Supramax,781
2013-03-05,Capesize,1246
2013-03-05,Handysize,466
2013-03-05,Panamax,1080
2013-03-05,Supramax,801
2013-03-06,Capesize,1251
2013-03-06,Handysize,472
2013-03-06,Panamax,1090
2013-03-06,Supramax,818
2013-03-07,Capesize,1260
2013-03-07,Handysize,478
2013-03-07,Panamax,1112
2013-03-07,Supramax,837
2013-03-08,Capesize,1262
2013-03-08,Handysize,483
2013-03-08,Panamax,1124
2013-03-08,Supramax,852
2013-03-11,Capesize,1260
2013-03-11,Handysize,485
2013-03-11,Panamax,1128
2013-03-11,Supramax,864
2013-03-12,Capesize,1314
2013-03-12,Handysize,486
2013-03-12,Panamax,1131
2013-03-12,Supramax,876
2013-03-13,Capesize,1314
2013-03-13,Handysize,490
2013-03-13,Panamax,1138
2013-03-13,Supramax,889
2013-03-14,Capesize,1302
2013-03-14,Handysize,494
2013-03-14,Panamax,1147
2013-03-14,Supramax,903
2013-03-15,Capesize,1299
2013-03-15,Handysize,506
2013-03-15,Panamax,1162
2013-03-15,Supramax,913
2013-03-18,Capesize,1295
2013-03-18,Handysize,513
2013-03-18,Panamax,1172
2013-03-18,Supramax,925
2013-03-19,Capesize,1290
2013-03-19,Handysize,522
2013-03-19,Panamax,1184
2013-03-19,Supramax,937
2013-03-20,Capesize,1294
2013-03-20,Handysize,532
2013-03-20,Panamax,1190
2013-03-20,Supramax,950
2013-03-21,Capesize,1290
2013-03-21,Handysize,539
2013-03-21,Panamax,1202
2013-03-21,Supramax,959
2013-03-22,Capesize,1284
2013-03-22,Handysize,542
2013-03-22,Panamax,1208
2013-03-22,Supramax,968
2013-03-25,Capesize,1284
2013-03-25,Handysize,543
2013-03-25,Panamax,1210
2013-03-25,Supramax,978
2013-03-26,Capesize,1275
2013-03-26,Handysize,545
2013-03-26,Panamax,1204
2013-03-26,Supramax,981
2013-03-27,Capesize,1258
2013-03-27,Handysize,547
2013-03-27,Panamax,1191
2013-03-27,Supramax,977
2013-03-28,Capesize,1249
2013-03-28,Handysize,547
2013-03-28,Panamax,1176
2013-03-28,Supramax,965
2013-04-02,Capesize,1229
2013-04-02,Handysize,543
2013-04-02,Panamax,1155
2013-04-02,Supramax,944
2013-04-03,Capesize,1209
2013-04-03,Handysize,537
2013-04-03,Panamax,1129
2013-04-03,Supramax,933
2013-04-04,Capesize,1209
2013-04-04,Handysize,529
2013-04-04,Panamax,1106
2013-04-04,Supramax,924
2013-04-05,Capesize,1215
2013-04-05,Handysize,525
2013-04-05,Panamax,1094
2013-04-05,Supramax,915
2013-04-08,Capesize,1223
2013-04-08,Handysize,523
2013-04-08,Panamax,1084
2013-04-08,Supramax,912
2013-04-09,Capesize,1236
2013-04-09,Handysize,518
2013-04-09,Panamax,1077
2013-04-09,Supramax,907
2013-04-10,Capesize,1250
2013-04-10,Handysize,518
2013-04-10,Panamax,1080
2013-04-10,Supramax,902
2013-04-11,Capesize,1257
2013-04-11,Handysize,521
2013-04-11,Panamax,1095
2013-04-11,Supramax,900
2013-04-12,Capesize,1265
2013-04-12,Handysize,526
2013-04-12,Panamax,1112
2013-04-12,Supramax,901
2013-04-15,Capesize,1257
2013-04-15,Handysize,528
2013-04-15,Panamax,1125
2013-04-15,Supramax,902
2013-04-16,Capesize,1251
2013-04-16,Handysize,531
2013-04-16,Panamax,1143
2013-04-16,Supramax,902
2013-04-17,Capesize,1245
2013-04-17,Handysize,537
2013-04-17,Panamax,1167
2013-04-17,Supramax,900
2013-04-18,Capesize,1238
2013-04-18,Handysize,538
2013-04-18,Panamax,1180
2013-04-18,Supramax,899
2013-04-19,Capesize,1234
2013-04-19,Handysize,539
2013-04-19,Panamax,1196
2013-04-19,Supramax,898
2013-04-22,Capesize,1230
2013-04-22,Handysize,540
2013-04-22,Panamax,1202
2013-04-22,Supramax,902
2013-04-23,Capesize,1220
2013-04-23,Handysize,540
2013-04-23,Panamax,1193
2013-04-23,Supramax,902
2013-04-24,Capesize,1214
2013-04-24,Handysize,543
2013-04-24,Panamax,1165
2013-04-24,Supramax,903
2013-04-25,Capesize,1220
2013-04-25,Handysize,544
2013-04-25,Panamax,1121
2013-04-25,Supramax,905
2013-04-26,Capesize,1246
2013-04-26,Handysize,545
2013-04-26,Panamax,1082
2013-04-26,Supramax,904
2013-04-29,Capesize,1260
2013-04-29,Handysize,545
2013-04-29,Panamax,1058
2013-04-29,Supramax,900
2013-04-30,Capesize,1273
2013-04-30,Handysize,544
2013-04-30,Panamax,1028
2013-04-30,Supramax,895
2013-05-01,Capesize,1279
2013-05-01,Handysize,545
2013-05-01,Panamax,1018
2013-05-01,Supramax,888
2013-05-02,Capesize,1322
2013-05-02,Handysize,546
2013-05-02,Panamax,1010
2013-05-02,Supramax,884
2013-05-03,Capesize,1344
2013-05-03,Handysize,546
2013-05-03,Panamax,1006
2013-05-03,Supramax,880
2013-05-07,Capesize,1393
2013-05-07,Handysize,546
2013-05-07,Panamax,999
2013-05-07,Supramax,876
2013-05-08,Capesize,1408
2013-05-08,Handysize,548
2013-05-08,Panamax,995
2013-05-08,Supramax,874
2013-05-09,Capesize,1398
2013-05-09,Handysize,551
2013-05-09,Panamax,995
2013-05-09,Supramax,872
2013-05-10,Capesize,1382
2013-05-10,Handysize,551
2013-05-10,Panamax,994
2013-05-10,Supramax,869
2013-05-13,Capesize,1370
2013-05-13,Handysize,553
2013-05-13,Panamax,993
2013-05-13,Supramax,866
2013-05-14,Capesize,1360
2013-05-14,Handysize,555
2013-05-14,Panamax,988
2013-05-14,Supramax,861
2013-05-15,Capesize,1338
2013-05-15,Handysize,555
2013-05-15,Panamax,974
2013-05-15,Supramax,857
2013-05-16,Capesize,1334
2013-05-16,Handysize,554
2013-05-16,Panamax,951
2013-05-16,Supramax,854
2013-05-17,Capesize,1326
2013-05-17,Handysize,553
2013-05-17,Panamax,930
2013-05-17,Supramax,853
2013-05-20,Capesize,1317
2013-05-20,Handysize,555
2013-05-20,Panamax,917
2013-05-20,Supramax,851
2013-05-21,Capesize,1321
2013-05-21,Handysize,554
2013-05-21,Panamax,899
2013-05-21,Supramax,852
2013-05-22,Capesize,1333
2013-05-22,Handysize,552
2013-05-22,Panamax,880
2013-05-22,Supramax,851
2013-05-23,Capesize,1339
2013-05-23,Handysize,551
2013-05-23,Panamax,863
2013-05-23,Supramax,853
2013-05-24,Capesize,1350
2013-05-24,Handysize,546
2013-05-24,Panamax,854
2013-05-24,Supramax,855
2013-05-28,Capesize,1346
2013-05-28,Handysize,545
2013-05-28,Panamax,838
2013-05-28,Supramax,857
2013-05-29,Capesize,1348
2013-05-29,Handysize,543
2013-05-29,Panamax,821
2013-05-29,Supramax,858
2013-05-30,Capesize,1339
2013-05-30,Handysize,537
2013-05-30,Panamax,806
2013-05-30,Supramax,859
2013-05-31,Capesize,1336
2013-05-31,Handysize,533
2013-05-31,Panamax,795
2013-05-31,Supramax,865
2013-06-03,Capesize,1333
2013-06-03,Handysize,529
2013-06-03,Panamax,786
2013-06-03,Supramax,871
2013-06-04,Capesize,1338
2013-06-04,Handysize,526
2013-06-04,Panamax,776
2013-06-04,Supramax,873
2013-06-05,Capesize,1335
2013-06-05,Handysize,521
2013-06-05,Panamax,768
2013-06-05,Supramax,877
2013-06-06,Capesize,1344
2013-06-06,Handysize,521
2013-06-06,Panamax,764
2013-06-06,Supramax,880
2013-06-07,Capesize,1352
2013-06-07,Handysize,524
2013-06-07,Panamax,764
2013-06-07,Supramax,885
2013-06-10,Capesize,1359
2013-06-10,Handysize,525
2013-06-10,Panamax,766
2013-06-10,Supramax,889
2013-06-11,Capesize,1379
2013-06-11,Handysize,525
2013-06-11,Panamax,777
2013-06-11,Supramax,890
2013-06-12,Capesize,1427
2013-06-12,Handysize,525
2013-06-12,Panamax,808
2013-06-12,Supramax,892
2013-06-13,Capesize,1484
2013-06-13,Handysize,528
2013-06-13,Panamax,833
2013-06-13,Supramax,895
2013-06-14,Capesize,1537
2013-06-14,Handysize,533
2013-06-14,Panamax,859
2013-06-14,Supramax,895
2013-06-17,Capesize,1588
2013-06-17,Handysize,539
2013-06-17,Panamax,878
2013-06-17,Supramax,900
2013-06-18,Capesize,1674
2013-06-18,Handysize,544
2013-06-18,Panamax,892
2013-06-18,Supramax,900
2013-06-19,Capesize,1757
2013-06-19,Handysize,547
2013-06-19,Panamax,909
2013-06-19,Supramax,903
2013-06-20,Capesize,1792
2013-06-20,Handysize,548
2013-06-20,Panamax,920
2013-06-20,Supramax,909
2013-06-21,Capesize,1822
2013-06-21,Handysize,552
2013-06-21,Panamax,927
2013-06-21,Supramax,916
2013-06-24,Capesize,1912
2013-06-24,Handysize,552
2013-06-24,Panamax,937
2013-06-24,Supramax,923
2013-06-25,Capesize,1959
2013-06-25,Handysize,552
2013-06-25,Panamax,959
2013-06-25,Supramax,930
2013-06-26,Capesize,2061
2013-06-26,Handysize,554
2013-06-26,Panamax,976
2013-06-26,Supramax,937
2013-06-27,Capesize,2120
2013-06-27,Handysize,558
2013-06-27,Panamax,994
2013-06-27,Supramax,944
2013-06-28,Capesize,2165
2013-06-28,Handysize,564
2013-06-28,Panamax,1007
2013-06-28,Supramax,950
2013-07-01,Capesize,2176
2013-07-01,Handysize,566
2013-07-01,Panamax,1014
2013-07-01,Supramax,954
2013-07-02,Capesize,2134
2013-07-02,Handysize,569
2013-07-02,Panamax,1016
2013-07-02,Supramax,954
2013-07-03,Capesize,2020
2013-07-03,Handysize,569
2013-07-03,Panamax,1017
2013-07-03,Supramax,952
2013-07-04,Capesize,1936
2013-07-04,Handysize,568
2013-07-04,Panamax,1012
2013-07-04,Supramax,943
2013-07-05,Capesize,1929
2013-07-05,Handysize,568
2013-07-05,Panamax,1008
2013-07-05,Supramax,932
2013-07-08,Capesize,1977
2013-07-08,Handysize,568
2013-07-08,Panamax,1002
2013-07-08,Supramax,924
2013-07-09,Capesize,2012
2013-07-09,Handysize,566
2013-07-09,Panamax,1006
2013-07-09,Supramax,920
2013-07-10,Capesize,2037
2013-07-10,Handysize,564
2013-07-10,Panamax,1024
2013-07-10,Supramax,911
2013-07-11,Capesize,2047
2013-07-11,Handysize,561
2013-07-11,Panamax,1062
2013-07-11,Supramax,904
2013-07-12,Capesize,2058
2013-07-12,Handysize,561
2013-07-12,Panamax,1097
2013-07-12,Supramax,901
2013-07-15,Capesize,2052
2013-07-15,Handysize,560
2013-07-15,Panamax,1118
2013-07-15,Supramax,897
2013-07-16,Capesize,2044
2013-07-16,Handysize,559
2013-07-16,Panamax,1136
2013-07-16,Supramax,894
2013-07-17,Capesize,2034
2013-07-17,Handysize,556
2013-07-17,Panamax,1153
2013-07-17,Supramax,895
2013-07-18,Capesize,2006
2013-07-18,Handysize,550
2013-07-18,Panamax,1165
2013-07-18,Supramax,894
2013-07-19,Capesize,1987
2013-07-19,Handysize,544
2013-07-19,Panamax,1172
2013-07-19,Supramax,897
2013-07-22,Capesize,1978
2013-07-22,Handysize,541
2013-07-22,Panamax,1170
2013-07-22,Supramax,898
2013-07-23,Capesize,1956
2013-07-23,Handysize,539
2013-07-23,Panamax,1159
